Crash Count,Crash Type,Latitude,Location,Longitude
32,Casualty,49.250108,KINGSWAY & KNIGHT ST,-123.076032
20,Casualty,49.24187,KINGSWAY & NANAIMO ST,-123.058123
18,Casualty,49.235939,KINGSWAY & RUPERT ST,-123.042334
20,Casualty,49.240009,KINGSWAY & SLOCAN ST,-123.054067
29,Casualty,49.245143,KINGSWAY & VICTORIA DR,-123.065173
98,Casualty,49.211079,KNIGHT ST & KNIGHT ST BRIDGE & SE MARINE DR & SE MARINE DR OFFRAMP & SE MARINE DR ONRAMP,-123.077129
17,Casualty,49.211099,MAIN ST & SE MARINE DR,-123.102224
43,Casualty,49.272815,MAIN ST & TERMINAL AVE,-123.100019
43,Casualty,49.207788,MARINE WAY & SE MARINE DR,-123.038936
12,Casualty,49.204818,OAK ST & OAK ST BRIDGE & OAK ST OFFRAMP & SW MARINE DR & SW MARINE DR OFFRAMP & W KENT AVE N & W KENT AVE S,-123.129923
14,Casualty,49.214459,OAK ST & PARK DR,-123.130023
14,Casualty,49.260586,OAK ST & W 12TH AVE,-123.126708
18,Casualty,49.241437,OAK ST & W 33RD AVE,-123.127824
35,Casualty,49.233947,OAK ST & W 41ST AVE,-123.128076
19,Casualty,49.226543,OAK ST & W 49TH AVE,-123.128296
18,Casualty,49.219207,OAK ST & W 57TH AVE,-123.128556
18,Casualty,49.210743,OAK ST & W 67TH AVE,-123.130188
22,Casualty,49.208473,OAK ST & W 70TH AVE,-123.130257
19,Casualty,49.249237,OAK ST & W KING EDWARD AVE,-123.127511
36,Casualty,49.269482,1ST AVE & BOUNDARY RD & E 1ST AVE,-123.023603
23,Casualty,49.211037,ARGYLE ST & SE MARINE DR,-123.072075
17,Casualty,49.255426,BOUNDARY RD & CANADA WAY & SCHOU ST,-123.023657
29,Casualty,49.221948,BOUNDARY RD & E 49TH AVE & IMPERIAL ST,-123.023697
19,Casualty,49.281139,BOUNDARY RD & E HASTINGS ST & HASTINGS ST,-123.023506
53,Casualty,49.258209,BOUNDARY RD & GRANDVIEW HWY,-123.023636
41,Casualty,49.232291,BOUNDARY RD & KINGSWAY,-123.023538
39,Casualty,49.26558,BOUNDARY RD & LOUGHEED HWY,-123.023589
19,Casualty,49.208172,BOUNDARY RD & MARINE DR & SE MARINE DR,-123.023604
9,Casualty,49.205426,BOUNDARY RD & MARINE WAY & TURNING LANE,-123.023441
48,Casualty,49.276971,BURRARD ST & BURRARD ST BRIDGE & PACIFIC ST & PACIFIC ST OFFRAMP & PACIFIC ST ONRAMP,-123.132435
28,Casualty,49.279077,BURRARD ST & DAVIE ST,-123.129182
18,Casualty,49.281194,BURRARD ST & NELSON ST,-123.126037
16,Casualty,49.283281,BURRARD ST & ROBSON ST,-123.122803
22,Casualty,49.268005,BURRARD ST & W 4TH AVE,-123.14564
21,Casualty,49.284409,BURRARD ST & W GEORGIA ST,-123.121096
27,Casualty,49.210132,CAMBIE ST & SW MARINE DR & TURNING LANE,-123.117149
28,Casualty,49.260396,CAMBIE ST & W 12TH AVE,-123.114989
32,Casualty,49.23354,CAMBIE ST & W 41ST AVE,-123.116194
21,Casualty,49.226076,CAMBIE ST & W 49TH AVE,-123.116515
11,Casualty,49.26495,CAMBIE ST & W 7TH AVE,-123.114804
26,Casualty,49.263205,CAMBIE ST & W BROADWAY,-123.114853
14,Casualty,49.248986,CAMBIE ST & W KING EDWARD AVE,-123.115396
25,Casualty,49.290575,CARDERO ST & W GEORGIA ST & W PENDER ST,-123.130597
23,Casualty,49.259628,CLARK DR & E 12TH AVE,-123.077527
46,Casualty,49.269649,CLARK DR & E 1ST AVE & GRANDVIEW VIADUCT,-123.077365
28,Casualty,49.262392,CLARK DR & E BROADWAY,-123.077552
23,Casualty,49.281344,CLARK DR & E HASTINGS ST,-123.0771
22,Casualty,49.276759,CLARK DR & VENABLES ST,-123.077265
23,Casualty,49.259588,COMMERCIAL DR & E 12TH AVE,-123.069846
33,Casualty,49.269586,COMMERCIAL DR & E 1ST AVE,-123.069675
37,Casualty,49.262326,COMMERCIAL DR & E BROADWAY,-123.069794
34,Casualty,49.292623,DENMAN ST & W GEORGIA ST,-123.133718
11,Casualty,49.284779,DUNDAS ST & N NANAIMO ST & NANAIMO ST,-123.056525
24,Casualty,49.259878,E 12TH AVE & KINGSWAY & MILLTOWN PL,-123.096571
23,Casualty,49.260193,E 12TH AVE & MAIN ST,-123.101079
46,Casualty,49.269452,E 1ST AVE & E 1ST AVE OFFRAMP & E 1ST AVE ONRAMP & RUPERT ST OFFRAMP & TRANS-CANADA HWY,-123.027611
28,Casualty,49.269481,E 1ST AVE & NANAIMO ST,-123.056605
30,Casualty,49.269475,E 1ST AVE & RENFREW ST,-123.044219
33,Casualty,49.269419,E 1ST AVE & RUPERT ST & ACCESS ROAD,-123.033659
26,Casualty,49.26956,E 1ST AVE & VICTORIA DR,-123.065769
32,Casualty,49.269078,E 2ND AVE & MAIN ST,-123.100707
29,Casualty,49.240211,E 33RD AVE & KNIGHT ST,-123.076367
15,Casualty,49.232869,E 41ST AVE & FRASER ST,-123.09055
28,Casualty,49.232692,E 41ST AVE & KNIGHT ST,-123.077064
24,Casualty,49.23306,E 41ST AVE & MAIN ST,-123.101517
19,Casualty,49.232947,E 41ST AVE & RUPERT ST,-123.043091
25,Casualty,49.232747,E 41ST AVE & VICTORIA DR,-123.065518
29,Casualty,49.225442,E 49TH AVE & FRASER ST,-123.090711
36,Casualty,49.22528,E 49TH AVE & KNIGHT ST,-123.077324
15,Casualty,49.225649,E 49TH AVE & MAIN ST,-123.10164
12,Casualty,49.22464,E 49TH AVE & TYNE ST,-123.032269
31,Casualty,49.225169,E 49TH AVE & VICTORIA DR,-123.065763
40,Casualty,49.218132,E 57TH AVE & KNIGHT ST,-123.077053
14,Casualty,49.264471,E 7TH AVE & KINGSWAY & MAIN ST,-123.100924
12,Casualty,49.26287,E BROADWAY & KINGSWAY,-123.099528
13,Casualty,49.262912,E BROADWAY & MAIN ST,-123.100967
38,Casualty,49.262131,E BROADWAY & NANAIMO ST,-123.056591
